2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: audio, class: MEDIA, hid: HDAUDIO\FUNC_01&VEN_10EC&DEV_0270&SUBSYS_103C143C&REV_1001, cid: HDAUDIO\FUNC_01&CTLR_VEN_1002&CTLR_DEV_4383&VEN_10EC&DEV_0270&REV_1001, problem: 0x00000000, deviceDesc:"Устройство с поддержкой High Definition Audio", inf: C:\Windows\inf\hdaudio.inf, driverDate: 9-4-2019, driverVersion: 10.0.17763.737
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: PCI\VEN_1022&DEV_9605&SUBSYS_143C103C&REV_00, cid: PCI\VEN_1022&DEV_9605&REV_00, problem: 0x00000000, deviceDesc:"Мост PCI–PCI", inf: C:\Windows\inf\pci.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.802
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ACPI\VEN_PNP&DEV_0C14, cid: , problem: 0x00000000, deviceDesc:"Интерфейс управления для ACPI Microsoft Windows", inf: C:\Windows\inf\wmiacpi.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: PCI\VEN_1002&DEV_439D&SUBSYS_143C103C&REV_40, cid: PCI\VEN_1002&DEV_439D&REV_40, problem: 0x00000000, deviceDesc:"Стандартный мост PCI — ISA", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: PCI\VEN_1002&DEV_4384&SUBSYS_00000000&REV_40, cid: PCI\VEN_1002&CC_060401, problem: 0x00000000, deviceDesc:"Мост PCI–PCI", inf: C:\Windows\inf\pci.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.802
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ROOT\VID, cid: , problem: 0x00000000, deviceDesc:"Драйвер инфраструктуры виртуализации Microsoft Hyper-V", inf: C:\Windows\inf\wvid.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.864
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ACPI\VEN_PNP&DEV_0800, cid: , problem: 0x00000000, deviceDesc:"Встроенный динамик", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ROOT\CompositeBus, cid: , problem: 0x00000000, deviceDesc:"Перечислитель композитной шины", inf: C:\Windows\inf\compositebus.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ROOT\vdrvroot, cid: , problem: 0x00000000, deviceDesc:"Перечислитель виртуальных дисков (Майкрософт)", inf: C:\Windows\inf\vdrvroot.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: camera, class: Camera, hid: USB\VID_04F2&PID_B1AA&REV_5953&MI_00, cid: USB\Class_0e&SubClass_03&Prot_00, problem: 0x00000000, deviceDesc:"USB-видеоустройство", inf: C:\Windows\inf\usbvideo.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.404
